gen,dnaty_acc,random_acc
1,0.963,0.9638
2,0.9702,0.9707
3,0.973,0.9724
4,0.9747,0.9724
5,0.9747,0.9734
6,0.9747,0.9738
7,0.976,0.9743
8,0.976,0.9749
9,0.976,0.9755
10,0.976,0.9755
11,0.9762,0.9755
12,0.9762,0.9758
13,0.9762,0.9758
14,0.9762,0.9758
15,0.9767,0.9758
16,0.9767,0.9758
17,0.9767,0.9758
18,0.9767,0.9758
19,0.9767,0.9758
20,0.9769,0.9763
21,0.9769,0.9763
22,0.9776,0.9763
23,0.9776,0.9763
24,0.9776,0.9763
25,0.9776,0.9773
26,0.9776,0.9773
27,0.9776,0.9773
28,0.9776,0.9773
29,0.9776,0.9777
30,0.9776,0.9777
